id,premises_name,legal_entity,address,town,region
flaxmere-pharmacy-hawke-s-bay,Flaxmere Pharmacy,Flaxmere Pharmacy (2000) Limited,"Shop 12,  Flaxmere Village Swansea Road Flaxmere HASTINGS 4120, Hawke's Bay",Hawke's Bay,Central | Te Ikaroa
gees-pharmacy-hawke-s-bay,Gees Pharmacy,Marshall's Pharmacy Taradale Limited,"279 Gloucester Street Taradale NAPIER 4112, Hawke's Bay",Hawke's Bay,Central | Te Ikaroa
gilmours-havelock-north-pharmacy-hawke-s-bay,Gilmours Havelock North Pharmacy,Gilmour's Havelock North Pharmacy Limited,"Shops 4 & 5, 10 Porter Drive, Havelock North, 4130, Hawke's Bay",Hawke's Bay,Central | Te Ikaroa
gimbletts-pharmacy-midcentral,Gimbletts Pharmacy,Wisemed Limited,"70 Main Street, Foxton, 4814, MidCentral",MidCentral,Central | Te Ikaroa
glenns-pharmacy-limited-hawke-s-bay,Glenns Pharmacy Limited,Glenns Pharmacy Limited,"245 Gloucester Street Taradale NAPIER 4112, Hawke's Bay",Hawke's Bay,Central | Te Ikaroa
gonville-health-pharmacy-limited-whanganui,Gonville Health Pharmacy Limited,Gonville Health Pharmacy Limited,"44 Abbot Street Gonville Whanganui 4501, Whanganui",Whanganui,Central | Te Ikaroa
gonville-pharmacy-whanganui,Gonville Pharmacy,Cziharz (NZ) Limited,"121 Alma Road, Gonville, Whanganui 4501, Whanganui",Whanganui,Central | Te Ikaroa
grant-irvine-pharmacy-midcentral,Grant Irvine Pharmacy,Wisemed Limited,"Unit 1, 552 - 554 Main Street Palmerston North 4410, MidCentral",MidCentral,Central | Te Ikaroa
greenmeadows-pharmacy-hawke-s-bay,Greenmeadows Pharmacy,APS Pharmacy Limited,"34 Gloucester Street Greenmeadows Napier 4112, Hawke's Bay",Hawke's Bay,Central | Te Ikaroa
greytown-pharmacy-wairarapa,Greytown Pharmacy,Capital Care Pharmacy Limited,"North Shop, 86 Main Street Greytown 5712, Wairarapa",Wairarapa,Central | Te Ikaroa
hataitai-pharmacy-capital-coast-and-hutt-valley,Hataitai Pharmacy,Kelvin's Pharmacy Limited,"4 Moxham Avenue Hataitai Wellington 6021, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
hokowhitu-pharmacy-midcentral,Hokowhitu Pharmacy,Alchemist Pharmacy Limited,"360 Albert Street Hokowhitu Palmerston North 4410, MidCentral",MidCentral,Central | Te Ikaroa
hutt-city-pharmacy-capital-coast-and-hutt-valley,Hutt City Pharmacy,Petone Pharmacy Limited,"5 Raroa Road, Hutt Central, Lower Hutt, 5010, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
ihakara-pharmacy-capital-coast-and-hutt-valley,Ihakara Pharmacy,Ihakara Pharmacy Limited,"40 Ihakara Street, Paraparaumu 5032, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
john-castle-chemists-capital-coast-and-hutt-valley,John Castle Chemists,Newtown Pharmacy Limited,"139 Riddiford Street Newtown Wellington 6021, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
johnsonville-medical-centre-pharmacy-capital-coast-and-hutt-valley,Johnsonville Medical Centre Pharmacy,Johnsonville Medical Centre Pharmacy (2021) Limited,"Ground Floor 2 Trafalgar Street Johnsonville Wellington 6037, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
kelburn-pharmacy-capital-coast-and-hutt-valley,Kelburn Pharmacy,Pharmacy Solutions (2022) Limited,"1 Upland Road Kelburn Wellington 6012, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
kenepuru-pharmacy-capital-coast-and-hutt-valley,Kenepuru Pharmacy,Kenepuru Pharmacy 2022 Limited,"16 Hospital Drive Kenepuru Porirua 5022, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
lagan-s-pharmacy-capital-coast-and-hutt-valley,Lagan's Pharmacy,Lagans Pharmacy 2013 Limited,"10 Main Street, Upper Hutt 5018, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
lambton-square-pharmacy-capital-coast-and-hutt-valley,Lambton Square Pharmacy,Lambton Square Limited,"Shop 104, Lambton Square Mall, 180 Lambton Quay, Wellington, 6011, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
langs-pharmacy-wairarapa,Langs Pharmacy,Pharmacy Solutions Limited,"33 Fitzherbert Street Featherston 5710, Wairarapa",Wairarapa,Central | Te Ikaroa
len-hooper-pharmacy-capital-coast-and-hutt-valley,Len Hooper Pharmacy,Len Hooper Pharmacy Limited,"104 Oxford Terrace Epuni LOWER HUTT 5011, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
levin-mall-pharmacy-midcentral,Levin Mall Pharmacy,J.K. Pharmacy Limited,"Shop 1, Levin Mall Shopping Centre 191 Oxford Street Levin 5510, MidCentral",MidCentral,Central | Te Ikaroa
life-pharmacy-coastlands-capital-coast-and-hutt-valley,Life Pharmacy Coastlands,Hawkes Bay Pharmacies Limited,"Shop 6, Coastlands Shoppingtown Main Road PARAPARAUMU 5032, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
life-pharmacy-johnsonville-capital-coast-and-hutt-valley,Life Pharmacy Johnsonville,J-Mall Pharmacy Limited,"Shop 40, Johnsonville Shopping Centre 16 Broderick Road Johnsonville Wellington 6037, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
life-pharmacy-kapiti-coast-capital-coast-and-hutt-valley,Life Pharmacy Kapiti Coast,Sanford Pharmacy Limited,"2/11 Amohia Street Kapiti Lights Complex PARAPARAUMU 5032, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
life-pharmacy-masterton-wairarapa,Life Pharmacy Masterton,Pharmacy Solutions Limited,"132 - 136 Queen Street Masterton 5810, Wairarapa",Wairarapa,Central | Te Ikaroa
life-pharmacy-napier-city-hawke-s-bay,Life Pharmacy Napier City,Unichem Napier City Limited,"131 Emerson Street NAPIER 4110, Hawke's Bay",Hawke's Bay,Central | Te Ikaroa
life-pharmacy-north-city-capital-coast-and-hutt-valley,Life Pharmacy North City,Pharmacy N106 Limited,"Shop 125, North City Shopping Centre 2 Titahi Bay Road Porirua City Centre PORIRUA 5022, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
life-pharmacy-queensgate-capital-coast-and-hutt-valley,Life Pharmacy Queensgate,Pharmacy G101 Limited,"Shop S130, Queensgate Shopping Centre corner of Queens Drive & Bunny Street LOWER HUTT 5010, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
life-pharmacy-the-plaza-midcentral,Life Pharmacy The Plaza,Manawatu Pharmacies Limited,"Shop 108, The Plaza Shopping Centre 84 The Square Palmerston North 4410, MidCentral",MidCentral,Central | Te Ikaroa
mahora-pharmacy-limited-hawke-s-bay,Mahora Pharmacy Limited,Mahora Pharmacy Limited,"907 Tomoana Road, Mahora, Hastings, 4120, Hawke's Bay",Hawke's Bay,Central | Te Ikaroa
mana-pharmacy-capital-coast-and-hutt-valley,Mana Pharmacy,Pharmacy Solutions Limited,"107 Mana Esplanade Paremata Porirua 5026, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
maraenui-pharmacy-hawke-s-bay,Maraenui Pharmacy,Kokoru Pharmacy Group Limited,"3 Longfellow Avenue Maraenui Napier 4110, Hawke's Bay",Hawke's Bay,Central | Te Ikaroa
marewa-pharmacy-hawke-s-bay,Marewa Pharmacy,APS Pharmacy Limited,"104 Kennedy Road Marewa Napier 4110, Hawke's Bay",Hawke's Bay,Central | Te Ikaroa
marton-pharmacy-whanganui,Marton Pharmacy,Choice Pharmacy Limited,"292 Broadway Marton 4710, Whanganui",Whanganui,Central | Te Ikaroa
